Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
SPOT,Spotify Technology S.A,Common Stock,339.7,$64.62B,Communication Services,Entertainment,Movies & Entertainment
DASH,DoorDash Inc,Common Stock,202.97,$64.47B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
NSC,Norfolk Southern Corp,Common Stock,254.84,$64.24B,Industrials,Road & Rail,Railroads
ITW,Illinois Tool Works Inc.,Common Stock,200.98,$63.61B,Industrials,Machinery,Industrial Machinery
SO,Southern Co (The),Common Stock,60.1,$63.48B,Utilities,Electric Utilities,Electric Utilities
TEAM,Atlassian Corp Plc,Common Stock,253.06,$63.26B,Information Technology,Software,Application Software
ECL,Ecolab Inc.,Common Stock,219.88,$62.76B,Materials,Chemicals,Specialty Chemicals
ICE,Intercontinental Exchange Inc,Common Stock,111.07,$62.31B,Financials,Capital Markets,Financial Exchanges & Data
VMW,VMware Inc,Common Stock,145.13,$61.03B,Information Technology,Software,Systems Software
DELL,Dell Technologies Inc,Common Stock,80.05,$59.96B,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
ROKU,Roku Inc,Common Stock,468.67,$59.49B,Communication Services,Entertainment,Movies & Entertainment
ADI,Analog Devices Inc.,Common Stock,160.78,$59.41B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
GPN,Global Payments Inc.,Common Stock,197.18,$58.83B,Information Technology,IT Services,Data Processing & Outsourced Services
HCA,HCA Healthcare Inc,Common Stock,173.51,$58.71B,Health Care,Health Care Providers & Services,Health Care Facilities
D,Dominion Energy Inc,Common Stock,71.87,$58.65B,Utilities,Multi-Utilities,Multi-Utilities
APD,Air Products and Chemicals Inc.,Common Stock,260.55,$57.65B,Materials,Chemicals,Industrial Gases
MMC,Marsh & McLennan Companies Inc,Common Stock,112.8,$57.30B,Financials,Insurance,Insurance Brokers
TWTR,Twitter Inc,Common Stock,71.9,$57.12B,Communication Services,Interactive Media & Services,Interactive Media & Services
SCCO,Southern Copper Corp,Common Stock,72.46,$56.02B,Materials,Metals & Mining,Copper
VRTX,Vertex Pharmaceuticals Inc,Common Stock,214.04,$55.61B,Health Care,Biotechnology,Biotechnology
PLTR,Palantir Technologies Inc,Common Stock,31.91,$55.10B,Information Technology,Software,Application Software
BSX,Boston Scientific Corp,Common Stock,38.39,$54.97B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
UBS,UBS Group AG,Common Stock,15.4,$54.69B,Financials,Capital Markets,Diversified Capital Markets
EW,Edwards Lifesciences Corp,Common Stock,87.65,$54.60B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
NXPI,NXP Semiconductors NV,Common Stock,194.39,$54.38B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
COF,Capital One Financial Corp.,Common Stock,117.75,$54.05B,Financials,Consumer Finance,Consumer Finance
CRWD,CrowdStrike Holdings Inc,Common Stock,242.15,$53.49B,Information Technology,Software,Systems Software
PINS,Pinterest Inc,Common Stock,84.04,$52.64B,Communication Services,Interactive Media & Services,Interactive Media & Services
DD,DuPont  De Nemours Inc,Common Stock,71.47,$52.47B,Materials,Chemicals,Specialty Chemicals
AON,Aon plc,Common Stock,228.04,$52.27B,Financials,Insurance,Insurance Brokers
MCO,Moody's Corp.,Common Stock,278.67,$52.14B,Financials,Capital Markets,Financial Exchanges & Data
REGN,Regeneron Pharmaceuticals Inc,Common Stock,485.98,$51.94B,Health Care,Biotechnology,Biotechnology
EMR,Emerson Electric Co.,Common Stock,85.33,$51.18B,Industrials,Electrical Equipment,Electrical Components & Equipment
KLAC,KLA Corp,Common Stock,331.81,$51.15B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
PGR,Progressive Corp (The),Common Stock,86.27,$50.49B,Financials,Insurance,Property & Casualty Insurance
