Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
GTH,Genetron Holdings Ltd,Depository Receipt,30.64,$2.71B,Health Care,Biotechnology,Biotechnology
TEX,Terex Corp,Common Stock,39.43,$2.70B,Industrials,Machinery,Construction Machinery & Heavy Trucks
MDRX,Allscripts Healthcare Solutions Inc,Common Stock,17.08,$2.70B,Health Care,Health Care Technology,Health Care Technology
TPH,Tri Pointe Homes Inc,Common Stock,21.19,$2.69B,Consumer Discretionary,Household Durables,Homebuilding
DOOR,Masonite International Corp,Common Stock,109.53,$2.68B,Industrials,Building Products,Building Products
LILA,Liberty Latin America Ltd,Common Stock,11.59,$2.68B,Communication Services,Diversified Telecommunication Services,Alternative Carriers
BNL,Broadstone Net Lease Inc,Common Stock,18.94,$2.68B,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
FOCS,Focus Financial Partners Inc,Common Stock,52.82,$2.67B,Financials,Capital Markets,Asset Management & Custody Banks
ITGR,Integer Holdings Corp,Common Stock,81.26,$2.67B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
SEAS,SeaWorld Entertainment Inc,Common Stock,34.17,$2.67B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Leisure Facilities
CMC,Commercial Metals Co,Common Stock,22.22,$2.67B,Materials,Metals & Mining,Steel
TROX,Tronox Holdings plc,Common Stock,18.58,$2.67B,Materials,Chemicals,Commodity Chemicals
AVA,Avista Corp,Common Stock,38.79,$2.67B,Utilities,Multi-Utilities,Multi-Utilities
BRC,Brady Corp,Common Stock,51.2,$2.66B,Industrials,Commercial Services & Supplies,Commercial Printing
AX,Axos Financial Inc.,Common Stock,45.02,$2.66B,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
CLNY,Colony Capital Inc,Common Stock,5.51,$2.66B,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
ALVR,Allovir Inc,Common Stock,42.97,$2.65B,Health Care,Biotechnology,Biotechnology
B,Barnes Group Inc,Common Stock,52.39,$2.65B,Industrials,Machinery,Industrial Machinery
AVYA,Avaya Holdings Corp,Common Stock,31.52,$2.64B,Information Technology,Software,Application Software
